Sample ID;Picking sessions;Picking ToC;Library;Reads;Sex;Level 1;Level 2;Level 3;Content
L281_E02;Cold;Cooling;L281;2894344;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L281_F02;Cold;Cooling;L281;747927;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_G02;Cold;Cooling;L281;6040;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L281_H02;Cold;Cooling;L281;4689390;male;NP;NP1;NP1;cell
L281_A03;Cold;Cooling;L281;4190395;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_B03;Cold;Cooling;L281;314715;male;NoN;NoN;NoN;cell
L281_C03;Cold;Cooling;L281;87869;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_D03;Cold;Cooling;L281;3652177;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_E03;Cold;Cooling;L281;1690435;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_F03;Cold;Cooling;L281;6449936;male;NP;NP1;NP1;cell
L281_G03;Cold;Cooling;L281;63592;male;NoN;NoN;NoN;cell
L281_H03;Cold;Cooling;L281;5956;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L281_A04;Cold;Cooling;L281;6218417;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_B04;Cold;Cooling;L281;2166859;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L281_C04;Cold;Cooling;L281;28954608;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_D04;Cold;Cooling;L281;24346351;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_E04;Cold;Cooling;L281;14916461;male;NF;NF2/3;NF2;cell
L281_F04;Cold;Cooling;L281;1214579;male;NoN;NoN;NoN;cell
L281_G04;Cold;Cooling;L281;19007929;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_H04;Cold;Cooling;L281;7443261;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_A05;Cold;Cooling;L281;308894;male;NoN;NoN;NoN;cell
L281_B05;Cold;Cooling;L281;4332737;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_C05;Cold;Cooling;L281;385027;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L281_D05;Cold;Cooling;L281;5251;male;Empty well;Empty well;Empty well;no cell
L281_E05;Cold;Cooling;L281;6542046;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_F05;Cold;Cooling;L281;4492829;male;NP;NP1;NP1;cell
L281_G05;Cold;Cooling;L281;2556399;male;NP;NP1;NP1;cell
L281_H05;Cold;Cooling;L281;2868382;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_A06;Cold;Cooling;L281;5227949;male;NP;NP1;NP1;cell
L281_B06;Cold;Cooling;L281;8067003;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_C06;Cold;Cooling;L281;14329907;male;NP;NP2;NP2;cell
L281_D06;Cold;Cooling;L281;3545396;male;NP;NP1;NP1;cell
L281_E06;Cold;Cooling;L281;4389571;male;>1 cell;>1 cell;>1 cell;>1 cell
L281_F06;Cold;Cooling;L281;78748;male;NoN;NoN;NoN;cell
L281_G06;Cold;Cooling;L281;2935;male;Medium;Medium;Medium;no cell
L281_H06;Cold;Cooling;L281;5133;male;Empty well;Empty well;Empty well;no cell
L282_A01;Cold;Cooling;L282;31963319;male;NP;NP2;NP2;cell
L282_B01;Cold;Cooling;L282;10527443;male;TH outlier;TH outlier;TH outlier;cell
L282_C01;Cold;Cooling;L282;187048;male;NoN;NoN;NoN;cell
L282_D01;Cold;Cooling;L282;7252470;male;TH outlier;TH outlier;TH outlier;cell
L282_E01;Cold;Cooling;L282;1457741;male;>1 cell;>1 cell;>1 cell;>1 cell
L282_F01;Cold;Cooling;L282;17849;male;>1 cell;>1 cell;>1 cell;>1 cell
L282_G01;Cold;Cooling;L282;386087;male;NoN;NoN;NoN;cell
L282_H01;Cold;Cooling;L282;507615;male;NoN;NoN;NoN;cell
L282_A02;Cold;Cooling;L282;1144093;male;NoN;NoN;NoN;cell
L282_B02;Cold;Cooling;L282;1733847;male;NoN;NoN;NoN;cell
L282_C02;Cold;Cooling;L282;20132822;male;NP;NP1;NP1;cell
L282_D02;Cold;Cooling;L282;7461;male;NoN;NoN;NoN;cell
L282_E02;Cold;Cooling;L282;4808;male;Medium;Medium;Medium;no cell
L282_F02;Cold;Cooling;L282;2977;male;Medium;Medium;Medium;no cell
L282_G02;Cold;Cooling;L282;4496;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L282_H02;Cold;Cooling;L282;39105;male;NoN;NoN;NoN;cell
L282_A03;Cold;Cooling;L282;4963;male;Medium;Medium;Medium;no cell
L282_B03;Cold;Cooling;L282;697424;male;NoN;NoN;NoN;cell
L282_C03;Cold;Cooling;L282;13933936;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L282_D03;Cold;Cooling;L282;3452;male;Medium;Medium;Medium;no cell
L282_E03;Cold;Cooling;L282;477850;male;NoN;NoN;NoN;cell
L282_F03;Cold;Cooling;L282;281520;male;NoN;NoN;NoN;cell
L282_G03;Cold;Cooling;L282;1612;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L282_H03;Cold;Cooling;L282;3757;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L282_A04;Cold;Cooling;L282;374051;male;NoN;NoN;NoN;cell
L282_B04;Cold;Cooling;L282;4791794;male;TH outlier;TH outlier;TH outlier;cell
L282_C04;Cold;Cooling;L282;248512;male;NoN;NoN;NoN;cell
L282_D04;Cold;Cooling;L282;251019;male;NoN;NoN;NoN;cell
L282_E04;Cold;Cooling;L282;437315;male;NoN;NoN;NoN;cell
L282_F04;Cold;Cooling;L282;530152;male;NoN;NoN;NoN;cell
L282_G04;Cold;Cooling;L282;455687;male;NoN;NoN;NoN;cell
L282_H04;Cold;Cooling;L282;6139;male;Medium;Medium;Medium;no cell
L282_A05;Cold;Cooling;L282;10736596;male;TH outlier;TH outlier;TH outlier;cell
L282_B05;Cold;Cooling;L282;184530;male;NoN;NoN;NoN;cell
L282_C05;Cold;Cooling;L282;74485;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L282_D05;Cold;Cooling;L282;175804;male;NoN;NoN;NoN;cell
L282_E05;Cold;Cooling;L282;703603;male;>1 cell;>1 cell;>1 cell;>1 cell
L282_F05;Cold;Cooling;L282;699419;male;>1 cell;>1 cell;>1 cell;>1 cell
L282_G05;Cold;Cooling;L282;347019;male;NoN;NoN;NoN;cell
L282_H05;Cold;Cooling;L282;241939;male;NoN;NoN;NoN;cell
L282_A06;Cold;Cooling;L282;20172;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L282_B06;Cold;Cooling;L282;15169199;male;TH outlier;TH outlier;TH outlier;cell
L282_C06;Cold;Cooling;L282;2852983;male;NoN;NoN;NoN;cell
L282_D06;Cold;Cooling;L282;2612;male;Medium;Medium;Medium;no cell
L282_E06;Cold;Cooling;L282;396380;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L282_F06;Cold;Cooling;L282;3663;male;Medium;Medium;Medium;no cell
L282_G06;Cold;Cooling;L282;254877;male;NoN;NoN;NoN;cell
L282_H06;Cold;Cooling;L282;201849;male;NoN;NoN;NoN;cell
